MOTRNM,RIN DE MOTOCICLETA,12,25172500,,
MOTROD,RODILLOS,17,25173800,,
MOTROT,ROTOR DE ACEITE,17,25173800,,
MOSAL,SALPICADERA,13,25172600,,
MOTSES,SENSOR DE STOP,18,25173900,,
MOTSEP,SEPARADOR PIPETA,18,25173900,,
MOTSIL,SILICON DE MOTOCICLETA,12,25172500,,
MOTSOC,SOCKET,18,25173900,,
MOTSOP,SOPORTE,9,25172000,,
MOTSPR,SPROCK,17,25173800,,
MOTSCT,SPROCK TRASERO ,17,25173800,,
MOTSRD,SPROCKET DELANTERO,17,25173800,,
MOTSUJ,SUJETABULTOS,22,25174700,,
MOTSJE,SUJETADOR DE ESPEJOS,22,25174700,,
MOTSWI,SWITCH,20,25174400,,
MOTSWD,SWITCH DIRECCIONALES,20,25174400,,
MOTTAB,TABLERO,13,25172600,,
MOTTAN,TANQUE DE GASOLINA,11,25172400,,
MOTTAP,TAPON DE MOTOCICLETA,11,25172400,,
MOTTZS,TAZAS,19,25174200,,
MOTTAZ,TAZAS DE DIRECCION,19,25174200,,
MOTTES,TENSOR CADENA,17,25173800,,
MOTTSR,TENSOR DE VALVULAS,5,25171700,,
MOTTIR,TIRA DE LEDS,14,25172800,,
MOTTOL,TOLVA,18,25173900,,
MOTTOR,TORNILLOS SPROCK,17,25173800,,
MOTTUR,TUERCA,19,25174200,,
MOTVLM,VALVULAS DE MOTOCICLETA,5,25171700,,
MOTVAR,VARILLA DE FRENO,5,25171700,,
MOTVLC,VELOCIMETRO,13,25172600,,
MOTYUG,YUGO DE DIRECCION,19,25174200,,
MOTZOQ,ZOQUETERA,22,25174700,,
